scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
mixture_gaussian_cubic_MCAR,NMwide+MLP_d5_ef3,0.58945924,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,ImputeMLP_128x64x32,0.6067147,2,mixture_gaussian,cubic,MCAR,success
student_t_quadratic_MCAR,NeuMiss_d5,-0.1495657,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+A_gelu_d5,0.46724236,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+C_gelu_d5_ef3,0.4903342,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+MLP_d3_h64,0.35553694,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+MLP_d3_h64x32,0.41667342,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+MLP_d5_h128x64,0.41729903,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+MLP_d3_h128x64x32,0.39979297,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+MLP_d5_noact,0.30574673,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NMwide+MLP_d3_ef3,0.45903265,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NMwide+MLP_d5_ef3,0.3903522,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,ImputeMLP_128x64x32,0.5996321,0,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NeuMiss_d5,-0.06588888,1,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+A_gelu_d5,0.16893852,1,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+C_gelu_d5_ef3,0.47303218,1,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+MLP_d3_h64,0.11513448,1,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+MLP_d3_h64x32,0.22197592,1,student_t,quadratic,MCAR,success
student_t_quadratic_MCAR,NM+MLP_d5_h128x64,0.12287229,1,student_t,quadratic,MCAR,success
